College,State,NAAC,Students,Course,Placement%,AvgSalaryLPA,Recruiters
"Dara, Pandey and Sidhu College",WB,C,823,MBA,96.7,5.02,EY
"Chanda, Kaur and Sodhi College",Delhi,B,3455,B.Sc,38.82,4.72,TCS
"Buch, Brar and Subramanian College",KA,B,1306,B.Sc,42.71,4.89,Infosys
Bhattacharyya-Jayaraman College,WB,B,4925,MBA,38.8,3.85,Infosys
Toor and Sons College,UP,B,3576,B.Tech,93.18,13.91,Accenture
Chadha-Ravel College,UP,C,2102,MBA,32.09,4.12,Wipro
"Trivedi, Loyal and Sridhar College",MH,B,590,MBA,34.85,4.19,Accenture
"Ray, Dalal and Badal College",MH,B,2974,MCA,80.27,4.18,Infosys
Tak and Sons College,Delhi,A,2376,B.Tech,57.54,15.52,Wipro
Khurana-Mukherjee College,WB,B,4336,B.Sc,50.87,9.53,Accenture
Butala Ltd College,Delhi,C,4060,B.Tech,62.55,17,Deloitte
"Malhotra, Basu and Basak College",KA,B,2711,MCA,67.5,16.06,Wipro
"Sharma, Chopra and Grewal College",MH,B,3326,B.Tech,61.59,17.48,Accenture
Bhatnagar-Kulkarni College,WB,B,1857,MBA,44.58,5.2,Deloitte
"Krish, Bala and Gupta College",WB,C,3125,MBA,36.05,5.68,Wipro
Khurana-Iyer College,UP,C,3469,B.Tech,84.32,13.52,EY
Balakrishnan-Konda College,WB,B,2104,MBA,33.13,16.12,EY
Dara-Ben College,Delhi,A,3514,B.Sc,81.63,19.87,Wipro
"Dora, Deep and Mody College",MH,B,1143,B.Sc,42.1,17.9,Wipro
"Basak, Varkey and Krishnan College",UP,B,578,MBA,78.02,18.55,Accenture
"Zacharia, Bhakta and Acharya College",MH,B,3569,MBA,89.45,14.93,EY
Menon Group College,WB,B,589,B.Tech,89.41,17.75,Deloitte
"Bhagat, Mandal and Barad College",KA,A,4923,B.Tech,35.98,8.39,Infosys
Bora LLC College,Delhi,A,2637,B.Sc,78.74,18.15,Accenture
Sharma LLC College,KA,A,1860,MCA,40.66,13.96,Wipro
Gour-Narayan College,KA,B,4205,MBA,40.82,3.78,EY
Sandal-Lata College,KA,B,2848,MBA,46.91,12.98,EY
Deep Inc College,TN,A,3314,MBA,50.18,7.49,TCS
Nagy and Sons College,Delhi,B,2201,MBA,75.53,15.43,Accenture
"Modi, Vala and Padmanabhan College",KA,A,2765,B.Sc,53.01,3.62,EY
Seth-Seth College,WB,B,2338,B.Tech,40.78,16.34,TCS
"Mukhopadhyay, Murty and Vyas College",KA,B,4166,MCA,99.66,3.6,Wipro
"Wali, Thaker and Sama College",KA,C,2287,MCA,88.24,17.51,EY
Sodhi and Sons College,KA,A,4810,B.Tech,82.53,12.75,EY
Lala-Bandi College,MH,A,2205,B.Tech,67.98,18.52,Deloitte
Chaudhari LLC College,UP,A,2374,B.Sc,96.45,11.99,TCS
Krish-Maharaj College,Delhi,C,3355,MBA,96.57,6.34,Wipro
Venkataraman Ltd College,MH,C,1852,B.Sc,84.35,14.85,Accenture
Naidu Group College,TN,A,2813,MBA,71.31,5.94,EY
Bajwa Ltd College,MH,A,772,MBA,50.34,17.28,Accenture
"Sankaran, Nazareth and Setty College",UP,B,4398,B.Sc,74.27,16.28,EY
Rama PLC College,KA,B,4468,B.Tech,79.66,3.17,Accenture
Kota Group College,Delhi,B,3303,B.Tech,34.46,10.11,EY
Manda and Sons College,KA,B,3141,MBA,63.66,15.52,Deloitte
"Chakraborty, Goyal and Sur College",KA,C,4129,MCA,51.57,10.2,Wipro
Andra Group College,WB,B,2929,B.Tech,57.45,13.24,TCS
Deshpande Group College,WB,A,2119,MBA,62.18,14.14,Deloitte
"Sodhi, Ganguly and Khanna College",WB,A,694,B.Tech,75.65,18.06,EY
"Mannan, Borde and Dhar College",Delhi,A,1116,B.Tech,96.38,3.95,Wipro
Narayanan LLC College,MH,C,3582,B.Sc,75.93,5.84,TCS
Kibe-Savant College,KA,A,3770,MBA,95.36,16.17,Infosys
Kapadia Group College,Delhi,A,3299,MBA,90.71,3.17,Infosys
Kaur and Sons College,TN,B,3025,MBA,71.6,12.74,Wipro
Bobal and Sons College,WB,B,3726,B.Sc,99.47,14.03,Infosys
Barad PLC College,Delhi,C,1162,MCA,87.69,16.56,Infosys
"Jani, Datta and Koshy College",TN,B,4288,B.Tech,45.91,9.4,TCS
Dora-Reddy College,TN,C,2292,B.Sc,34.67,17.8,TCS
Ram Inc College,TN,B,3121,MBA,55.42,6.77,EY
Lad Inc College,Delhi,C,1646,B.Sc,52.83,13.76,Infosys
Nori and Sons College,Delhi,A,1278,B.Tech,61.94,12.99,Infosys
Dhar PLC College,Delhi,A,4272,MCA,68.45,8.14,EY
"Sastry, Sathe and Dash College",WB,C,2570,B.Tech,58.92,10.96,Wipro
Chada Ltd College,TN,A,2599,MCA,46.04,5.98,Wipro
"Mishra, Chhabra and Balay College",KA,C,3700,B.Sc,98.72,4.38,Wipro
Dua-Ganesh College,UP,C,2033,MBA,55.04,4.17,Accenture
Din-Raj College,WB,A,1928,MBA,35.27,17.92,TCS
Gokhale and Sons College,KA,A,4849,B.Tech,32.78,10.63,Accenture
"Bhakta, Balasubramanian and Ray College",Delhi,C,1129,B.Sc,37.26,14.59,Infosys
Balasubramanian LLC College,WB,B,945,B.Sc,79.66,7.51,Infosys
Khanna Inc College,Delhi,C,1334,B.Sc,53.86,11.28,Infosys
Sridhar LLC College,MH,A,3423,B.Sc,38.53,8.64,Wipro
Apte LLC College,TN,C,1648,B.Sc,57.51,10.24,Deloitte
Batra and Sons College,WB,C,582,B.Tech,90.03,9.93,Accenture
Naik-Doshi College,MH,B,4190,B.Sc,56.81,11.95,Deloitte
Viswanathan-Hayre College,MH,C,2094,MBA,58.65,17.14,Accenture
"Mohanty, Sabharwal and Narain College",KA,A,3199,B.Sc,72.73,10.82,Infosys
Singh Inc College,WB,A,4516,B.Sc,92.92,7.37,Infosys
"Karpe, Dube and Sarna College",UP,C,2907,MBA,67.03,17.97,TCS
Ravel Ltd College,Delhi,A,1759,B.Sc,35.34,6.64,TCS
Bir-Shah College,TN,C,2355,B.Tech,47.89,6.59,Infosys
Natt PLC College,KA,B,3682,MBA,37.97,4.94,TCS
"Tella, Grewal and Nayak College",Delhi,C,1369,MCA,95.06,18.15,Wipro
"Datta, Aggarwal and Warrior College",UP,B,3849,MCA,72.75,13.41,TCS
"Mistry, Nanda and Handa College",TN,A,3765,B.Tech,99.21,9.75,Wipro
Chakraborty LLC College,KA,B,4765,B.Tech,30.57,4.35,Deloitte
Mutti-Garde College,UP,C,2764,MCA,37.25,13.89,Infosys
Dhar Ltd College,Delhi,C,3934,B.Sc,39.74,6.97,Wipro
"Edwin, Sahni and Suri College",UP,B,761,B.Tech,36.75,7.02,Infosys
"Krishnan, Pingle and Chandra College",UP,A,3113,MBA,61.33,5.79,TCS
Chakraborty-Kata College,MH,A,3541,MCA,32.86,10.07,EY
Solanki Group College,Delhi,A,4064,MBA,55.77,14.49,TCS
Kashyap-Narasimhan College,WB,A,1424,MCA,98.2,4.92,EY
Bansal and Sons College,TN,C,4949,B.Sc,85.35,4.57,Infosys
Sant-Patel College,KA,A,1783,MBA,59.96,11.46,Accenture
Lalla Inc College,KA,A,2768,MBA,74.06,8.26,TCS
Kannan-Mall College,MH,A,4544,MBA,76.41,4.12,Accenture
Banerjee Group College,MH,A,4286,B.Tech,64.58,15.53,Deloitte
Aggarwal-Kibe College,KA,C,4171,MCA,88.73,8.93,Deloitte
Bakshi-Bala College,KA,C,3999,B.Tech,58.92,9.51,EY
Sethi and Sons College,MH,A,1730,MCA,73.14,8.04,EY
Wagle-Chaudhari College,MH,A,844,B.Sc,42.65,6.71,Accenture
Barad-Pradhan College,WB,A,3033,MBA,44.14,17.85,Infosys
"Deshpande, Kunda and Chopra College",WB,B,3295,MBA,33.18,17.14,Infosys
"Ahuja, Bhavsar and Bail College",KA,C,1451,B.Sc,82.1,11.98,Deloitte
Chaudhari and Sons College,UP,C,995,B.Tech,63.26,5.11,Accenture
Doctor LLC College,KA,B,2714,B.Tech,33.88,13.94,EY
Sengupta-Nazareth College,UP,B,1320,MBA,61.86,8.71,TCS
"Palan, Mitter and Khurana College",TN,A,2936,B.Sc,70.92,9.04,Deloitte
"Tailor, Bhardwaj and Char College",KA,B,1562,MCA,43.93,10.61,Wipro
"Chaudhry, Parmer and Devan College",WB,A,2440,B.Tech,99.24,6.78,Infosys
"Gour, Lad and Patla College",MH,A,4046,B.Tech,90.3,13.81,EY
Kar and Sons College,MH,B,3333,MCA,49.4,5.69,Deloitte
"Chahal, Kohli and Kanda College",MH,A,1879,B.Tech,52.68,17.42,Deloitte
Khare-Madan College,WB,B,3578,MCA,32.16,13.58,Deloitte
"Bhardwaj, Khurana and Peri College",UP,C,3641,B.Tech,52.8,6.2,Infosys
Biswas and Sons College,WB,B,3794,B.Tech,78.09,5.17,Accenture
Bajwa-Parmar College,UP,C,1254,B.Sc,78.66,4.64,TCS
Butala and Sons College,UP,A,2825,B.Tech,88.14,19.6,Deloitte
Gaba-Zachariah College,KA,A,3521,B.Sc,72.94,12.24,Wipro
Lata Inc College,TN,C,1264,B.Tech,88.04,16.22,Accenture
"Dora, Pandit and Sahni College",KA,B,2910,MBA,88.78,14.84,Infosys
Johal-Pathak College,KA,A,3904,B.Sc,37.36,13.24,Accenture
Iyer-Deshmukh College,UP,C,2877,B.Tech,94.89,18.32,Infosys
Sathe-Pai College,Delhi,A,4636,B.Sc,67.33,5.06,TCS
Prabhakar Ltd College,MH,A,1048,MBA,79.1,18.28,TCS
Chand Ltd College,MH,B,1459,MCA,66.89,5.65,TCS
"Hans, Iyengar and Sehgal College",KA,C,956,B.Tech,31.98,9.28,Infosys
Vohra-Basak College,KA,B,827,B.Sc,70.54,5.36,Infosys
Bhalla Group College,KA,A,4251,MBA,44.3,8.94,Infosys
Buch-Patla College,KA,A,4119,MCA,46.47,16.54,Deloitte
Goel Ltd College,MH,C,3500,MCA,83.94,9.33,Infosys
"Narasimhan, Dugar and Kapadia College",Delhi,B,4648,MBA,31.24,11.41,Deloitte
"Kant, Bhandari and Nath College",TN,C,4780,MBA,42.17,17.13,Deloitte
Loke-Madan College,WB,C,673,B.Tech,47.04,9.36,EY
"Lata, Biswas and Kapur College",UP,B,3755,B.Tech,87.62,16.53,Infosys
Bhakta Group College,TN,C,4442,MCA,46.17,9.69,Accenture
Gara-Singhal College,Delhi,C,517,MCA,85.89,3.3,Accenture
"Raval, Chakraborty and Kapur College",MH,A,2360,MBA,65.14,15.3,Wipro
Tella Group College,Delhi,A,564,B.Sc,86.18,4.03,Wipro
Natt-Vasa College,UP,A,4294,B.Tech,31.26,14.38,Wipro
Dewan-Virk College,MH,A,3393,B.Tech,79.24,13.02,TCS
Mohan and Sons College,WB,A,3067,MCA,55.73,11.13,EY
Ghosh-Memon College,WB,C,3302,B.Tech,86.76,17.08,TCS
"Kota, Mand and Kuruvilla College",WB,A,2801,MBA,62.28,17.19,Wipro
Kalla Group College,TN,C,1689,MCA,55.82,17.39,Wipro
Parekh-Zacharia College,UP,C,730,B.Tech,56.27,3.27,Deloitte
Dugar Group College,Delhi,C,2587,MBA,43.89,14.81,Accenture
"Gupta, Kale and Raghavan College",WB,A,2084,MCA,52.73,10.03,TCS
"Tandon, Mallick and Gupta College",MH,C,4881,MBA,41.01,16.61,Deloitte
"Agarwal, Chadha and Sandal College",WB,C,3774,MCA,38.74,13.98,TCS
Natarajan Ltd College,MH,A,1942,MCA,91.85,15.19,TCS
Dixit-Bajaj College,UP,C,707,MCA,44.78,9.77,EY
Shankar Inc College,MH,A,2164,MCA,86.18,11.92,Infosys
"Ratta, Chandran and Modi College",UP,A,4155,MCA,57.09,6.16,EY
Banik-Magar College,Delhi,B,4036,MBA,62.38,7.58,EY
Chada LLC College,KA,A,4823,MCA,66.58,14.68,Accenture
Sarma PLC College,TN,A,4759,MCA,80.37,18.11,Accenture
Sant PLC College,WB,B,2301,MBA,79.96,6.39,Deloitte
Nori-Iyengar College,MH,B,3169,MCA,81.33,17.41,Deloitte
Modi PLC College,TN,C,4909,MBA,49.83,6.92,Infosys
Kothari-Kant College,WB,B,3447,MBA,55.83,13.79,Accenture
Mani-Dara College,KA,B,2143,B.Tech,41.26,13.58,TCS
Gill-Nori College,Delhi,C,3514,MBA,32.13,16.11,Deloitte
"Deo, Trivedi and Chand College",TN,B,1656,MBA,98.96,18.84,Infosys
"Sengupta, Nigam and Bansal College",MH,C,3320,B.Sc,70.06,3.14,Wipro
Tata and Sons College,TN,A,1655,B.Tech,59.59,4.72,Wipro
Gokhale and Sons College,MH,B,3630,B.Sc,36.31,9.29,Accenture
"Raju, Halder and Upadhyay College",Delhi,A,2296,B.Sc,62.15,8.63,TCS
"Kadakia, Dayal and Malhotra College",TN,A,3155,B.Tech,55.88,8.58,Wipro
Gola and Sons College,MH,A,2143,MBA,58.55,11.01,Deloitte
"Devi, Korpal and Sodhi College",UP,C,716,MCA,85.94,8.21,Accenture
"Natarajan, Dugar and Modi College",TN,B,1592,B.Tech,38.5,7.11,Infosys
"Khare, Solanki and Chhabra College",TN,C,2092,MBA,43.05,16.11,Infosys
"Hari, Tailor and Pandya College",MH,C,1761,MCA,39.42,14.49,Accenture
Wadhwa-Ravi College,KA,C,3485,B.Tech,86.59,19.88,Wipro
Konda Ltd College,KA,A,3002,B.Sc,44.86,11.52,TCS
Sami Group College,Delhi,B,2754,MBA,59.84,5.74,Wipro
Pai-Gopal College,TN,C,3085,B.Sc,96.04,15.8,Deloitte
"Kade, Dara and Kanda College",TN,C,4062,B.Tech,31.14,9.98,Accenture
"Ramanathan, Borra and Subramanian College",UP,B,1170,MBA,30.69,11.59,Wipro
Nair-Choudhry College,KA,B,3295,B.Tech,70.99,15.36,Infosys
"Chakraborty, Balan and Shetty College",MH,B,4871,MCA,48.07,10.39,Infosys
Pandit-Soman College,Delhi,C,4414,MBA,36.88,10.34,TCS
"Prabhakar, Ramanathan and Muni College",Delhi,B,599,B.Sc,39.48,19.53,TCS
"Ramachandran, Chandra and Rajagopalan College",WB,B,2627,B.Tech,79.95,13.51,EY
Garde PLC College,UP,A,1414,MBA,30.42,13.53,Infosys
"Halder, Balasubramanian and Shanker College",Delhi,A,3069,B.Tech,53.51,13.16,Accenture
Luthra-Brahmbhatt College,UP,C,2957,B.Sc,53.63,16.81,TCS
Patel and Sons College,Delhi,A,2317,MBA,92.58,15.48,Infosys
Kade-Dani College,WB,B,1596,B.Sc,94.83,5,TCS
Naik-Dass College,Delhi,A,3440,MCA,86.29,9.98,EY
Batra-Mall College,Delhi,A,2682,B.Sc,58.68,19.1,Deloitte
Saini-Gour College,TN,C,1329,B.Tech,98.52,18.25,Deloitte
Khurana and Sons College,TN,C,4235,B.Sc,64.17,13.05,Deloitte
Wali-Gara College,KA,A,4499,MBA,75.64,5.63,Infosys
"Vohra, Nori and Sur College",WB,A,3932,B.Sc,92.87,4.7,Accenture
Sankar-Korpal College,WB,B,4309,MBA,75.86,6.04,Deloitte
Nanda-Wali College,WB,A,3193,B.Tech,30.67,12.99,Accenture
Mitter-Bhattacharyya College,KA,A,722,MBA,46.03,13.45,EY
Jani Inc College,TN,C,2584,B.Sc,36.89,8.3,EY
"Sahota, Ramaswamy and Saran College",Delhi,A,4466,MBA,98.79,11.69,Wipro
Pandit-Dhar College,UP,B,3531,MCA,95.01,5.16,Infosys
Sathe Inc College,MH,A,1674,B.Sc,36.92,12.47,Accenture
Kala and Sons College,WB,C,1305,B.Tech,42.1,19.08,Wipro
Kota-Andra College,Delhi,C,3455,MBA,82.97,15.67,Accenture
Choudhry Group College,KA,B,3291,MCA,61.29,4.3,EY
Ravi-Bhargava College,UP,B,2629,B.Sc,97.48,10.1,EY
Dass and Sons College,KA,C,4102,MBA,89.46,11.91,Infosys
Varty-Keer College,Delhi,C,3309,B.Sc,31.42,10.82,Infosys
Aggarwal LLC College,Delhi,B,2653,MCA,68.52,13.21,Deloitte
Kashyap Group College,WB,C,4294,B.Tech,55.73,13.37,EY
Shere and Sons College,TN,C,945,MCA,52.14,9.4,Deloitte
Char Inc College,UP,C,1953,MBA,53.84,4,Deloitte
Choudhry-Naik College,KA,B,2421,MCA,46.63,19.43,Wipro
Agrawal PLC College,TN,A,911,B.Tech,87.78,17.18,Accenture
Saraf PLC College,KA,A,1010,B.Tech,54.05,19.46,TCS
Ahluwalia Inc College,MH,A,3395,MBA,81.15,13.17,Accenture
"Amble, Dewan and Chaudry College",KA,B,4442,MBA,90.79,11.58,Accenture
Pathak-Patel College,UP,A,3179,B.Sc,39.55,15.67,Wipro
"Sane, Bala and Natt College",WB,A,1193,MCA,60.7,12.53,Wipro
Wason LLC College,Delhi,A,3207,B.Sc,85.25,17.23,Deloitte
"Maharaj, Sibal and Magar College",TN,A,2096,MBA,89.97,5.51,EY
Keer Ltd College,TN,B,1206,B.Sc,34.79,16.6,TCS
Dayal Inc College,TN,C,4597,B.Sc,53.35,5.39,EY
Karpe-Borra College,TN,B,2063,B.Sc,47.47,16.18,Infosys
Sheth-Bhargava College,KA,B,2346,MCA,59.58,7.42,EY
Tripathi LLC College,KA,A,1909,MBA,41.49,7.14,Accenture
Singhal-Karan College,UP,B,943,MBA,53.51,13.5,Infosys
"Grewal, Parmer and Tara College",MH,B,2404,MBA,62.38,8.89,Wipro
"Naidu, Mall and Mander College",MH,A,2754,MBA,48.16,7.45,TCS
Bakshi-Shenoy College,TN,A,609,B.Sc,82.68,6.8,Accenture
"Natarajan, Samra and Lall College",WB,B,1345,B.Sc,31.71,5.96,Accenture
"Balakrishnan, Balasubramanian and Naidu College",WB,B,1085,MCA,49.71,13.27,Accenture
Shukla-Ramachandran College,UP,B,4658,MCA,95.6,17.55,Accenture
"Muni, Madan and Pant College",UP,C,2733,MBA,97.74,5.71,TCS
Trivedi-Chaudry College,Delhi,C,637,B.Tech,67.67,17.93,TCS
Kala-Upadhyay College,WB,B,1719,MBA,55.56,12.87,Infosys
Narayan-Bandi College,Delhi,C,1004,B.Tech,59.12,9.44,TCS
Pradhan-Dar College,KA,A,2984,B.Tech,53.01,19.34,Deloitte
Pradhan PLC College,TN,C,4508,B.Tech,60.34,4.54,EY
Raja-Sani College,MH,C,1416,MCA,43.05,7.52,Infosys
Parsa Group College,UP,B,771,MCA,80.24,18.49,Deloitte
Palan-Pillay College,MH,B,4424,B.Sc,33.35,14.93,EY
Pandit Group College,WB,B,4025,B.Tech,77.66,13.75,EY
"Nazareth, Sood and Oommen College",TN,B,3306,B.Sc,78.96,17.82,Infosys
"Krishna, Karan and Gill College",KA,C,2660,MCA,43.63,10.94,Infosys
Gola LLC College,MH,A,2130,MCA,76.93,11.8,TCS
Venkataraman-Gala College,KA,A,2997,B.Sc,41.57,8.69,Wipro
Wason-Nadig College,WB,A,1154,MBA,47.86,4.58,TCS
Srinivas and Sons College,KA,B,4244,MCA,48.98,9.67,Infosys
Sidhu-Tripathi College,KA,C,1475,B.Tech,76.41,7.15,TCS
Natt-Vala College,Delhi,C,2784,MBA,95.02,11.37,Deloitte
Grewal and Sons College,UP,C,2625,B.Tech,85.3,12.34,Deloitte
"Jayaraman, Kumer and Modi College",MH,A,4259,B.Tech,59.14,3.02,Wipro
Sengupta-Malhotra College,Delhi,B,3482,B.Sc,30.9,19.08,TCS
"Shetty, Gole and Bhat College",MH,A,3793,MCA,89.12,12.05,Infosys
"Puri, Iyengar and Basu College",Delhi,B,3906,B.Sc,39.76,11.69,EY
Bose and Sons College,Delhi,A,3626,MCA,51.86,8.82,TCS
"Sethi, Mane and Sundaram College",KA,B,2138,MBA,47.37,16.19,Accenture
"Toor, Chandran and Biswas College",MH,C,1572,MCA,63.81,10.21,Wipro
Chandran-Memon College,KA,B,4507,B.Tech,89.89,13.03,Deloitte
Borde-Sehgal College,Delhi,A,4517,B.Sc,72.17,10.68,TCS
"Dyal, Yohannan and Randhawa College",WB,A,2505,B.Tech,96.39,6.92,Deloitte
"Pai, Walla and Venkatesh College",MH,A,681,MBA,87.08,14.19,Accenture
"Mitter, Prashad and Narain College",WB,B,586,B.Tech,90.85,19.8,Wipro
Rout Ltd College,TN,A,2186,B.Sc,66.06,10.35,TCS
Divan-Venkatesh College,Delhi,B,595,B.Tech,61.35,16.17,Deloitte
Kari-Biswas College,UP,B,1744,MBA,72.56,18.69,EY
"Dhillon, Sachdev and Aggarwal College",MH,A,3819,MCA,68.6,10.44,TCS
Bhagat-Rama College,MH,C,2720,MCA,74.73,14,TCS
"Kumar, Badami and Banerjee College",KA,C,801,B.Sc,62.17,13.01,EY
Karnik-Wadhwa College,UP,C,829,B.Tech,57.45,11.4,Infosys
Nagarajan-Wable College,WB,A,749,MBA,74.16,13.05,Infosys
"Bhatnagar, Zachariah and Madan College",KA,C,3324,B.Sc,88.13,13.15,Wipro
Bhargava LLC College,TN,B,2004,MCA,47.75,13.74,Deloitte
Din PLC College,KA,C,1277,MBA,31.06,11.83,Accenture
Shankar-Bains College,Delhi,C,4179,MCA,74.32,7.92,Accenture
"Bal, Rattan and Bail College",MH,B,4193,MCA,45.29,19.7,Infosys
Bala PLC College,UP,B,3408,B.Tech,47.33,18.04,TCS
Bhatt-Kumer College,KA,A,2280,B.Tech,85.65,13.36,Infosys
"Wali, Comar and Handa College",MH,C,1124,B.Tech,68.66,12.85,Wipro
"Shroff, Mukherjee and Pandya College",KA,A,906,MBA,79.72,15.03,Infosys
"Maharaj, Bobal and Lala College",MH,A,4901,B.Tech,82.92,4.6,Infosys
"Soman, Padmanabhan and Kade College",WB,B,2855,MBA,79.1,9.15,Wipro
"Bose, Dara and Tripathi College",TN,B,981,B.Tech,34.54,4.89,Infosys
Narayanan Inc College,KA,B,1700,B.Sc,49.74,8.17,Wipro
Kulkarni and Sons College,UP,B,2628,MBA,87.49,15.24,Infosys
Loyal-Dani College,KA,A,4482,B.Sc,78.28,3.99,Infosys
Sarkar-Hora College,UP,A,2491,B.Sc,99.17,16.48,EY
Brar Inc College,UP,B,2146,MCA,82.05,12.41,Wipro
"Sule, Chaudry and Prakash College",UP,A,1318,MBA,38.61,9.33,EY
Iyer-Venkataraman College,KA,A,3425,MBA,84.68,12.83,TCS
Kala LLC College,TN,C,2064,B.Sc,75.72,16.39,EY
"Saran, Gokhale and Ramaswamy College",UP,C,4679,B.Tech,39.51,15.12,Deloitte
"Shan, Nori and Sha College",MH,B,4757,B.Tech,83.15,14.53,Wipro
Chaudhry-Mammen College,MH,C,1396,MCA,49.84,14.01,Accenture
Desai LLC College,MH,A,4273,B.Tech,86.92,8.11,Accenture
"Sidhu, Goswami and Mitter College",UP,B,2018,B.Sc,77.03,3.39,Accenture
Shukla Ltd College,KA,B,1842,B.Tech,37.99,9.69,Wipro
Barad PLC College,KA,B,2860,B.Tech,73.32,8.36,Deloitte
"Som, Prabhu and Banik College",TN,C,3466,B.Sc,45.24,11.92,Infosys
Chandra-Gera College,WB,C,1115,B.Sc,66.47,17.7,Wipro
Parmer-Purohit College,Delhi,A,2802,MCA,95.06,18.51,Infosys
Sharma LLC College,KA,A,3721,B.Tech,36.52,16.51,Infosys
Sridhar-Zacharia College,WB,A,2500,B.Sc,48.29,3.41,Infosys
Mammen-Seth College,WB,A,2254,MCA,89.62,5.07,EY
"Gill, Pant and Khanna College",UP,C,2666,B.Tech,34.36,10.77,EY
Hari Inc College,MH,A,4238,MBA,75.8,12.32,Infosys
Chatterjee PLC College,UP,A,2804,MBA,45.33,11.69,Infosys
"Ravel, Johal and Borra College",KA,B,1044,B.Sc,49.86,4.75,TCS
Shanker-Sodhi College,TN,A,1053,B.Tech,46.51,16.48,Wipro
Zacharia-Dhar College,Delhi,A,2880,MCA,90.83,7.32,Infosys
Nagy-Kashyap College,MH,C,1281,MBA,47.12,19.27,EY
"Gupta, Deshmukh and Ben College",WB,C,3670,MCA,49.23,10.93,Infosys
Guha LLC College,WB,A,4383,MCA,58.91,9.08,Wipro
Shan LLC College,MH,C,908,B.Tech,48.74,5.54,Wipro
"Balasubramanian, Kale and Aurora College",MH,B,716,MCA,59.93,9.16,Deloitte
Nagarajan-Basu College,TN,C,4834,MBA,31.54,16.35,Wipro
Shere-Jani College,MH,B,2250,B.Sc,82.15,9.95,EY
Shah PLC College,MH,C,3953,MBA,87.11,8.83,Accenture
Buch-Sethi College,MH,A,4819,B.Tech,45.61,4.89,Wipro
"Sibal, Madan and Deo College",WB,A,4877,B.Tech,67.79,10.67,EY
Borra Inc College,Delhi,C,3587,B.Tech,79.38,9.37,Wipro
Verma Group College,KA,A,2876,B.Tech,67.59,17.51,Accenture
Sarna Group College,TN,A,749,B.Tech,44.25,7.79,TCS
Yohannan Ltd College,UP,C,4203,MCA,36.18,18.19,Accenture
Bala LLC College,Delhi,B,3284,MCA,91.89,9.53,Infosys
Bora and Sons College,MH,A,1983,B.Sc,99.56,5.38,TCS
Som and Sons College,MH,B,3279,B.Tech,93.24,4,EY
Subramaniam PLC College,TN,B,2329,MBA,73.26,3.75,Infosys
Sama and Sons College,WB,B,3098,MCA,93.35,16.85,Accenture
"Bhatt, Thaman and Dash College",UP,C,3817,B.Sc,37.41,6.31,Deloitte
"Butala, Nigam and Sharaf College",KA,B,2575,MBA,60.75,4.58,Deloitte
Deshmukh-Samra College,Delhi,A,2899,B.Tech,89.21,14.65,Wipro
"Aggarwal, Tak and Saran College",MH,B,4537,MCA,74.82,14.52,Infosys
"Nori, Merchant and Chopra College",UP,A,2687,B.Sc,32.44,8.69,Wipro
"Peri, Gokhale and Parmar College",Delhi,C,3675,MCA,81.25,14.52,TCS
Sem and Sons College,WB,C,4906,B.Sc,45.7,5.25,Deloitte
Sani-Narain College,MH,C,1837,B.Sc,87.58,17.75,Accenture
Soni-Sawhney College,UP,C,1341,B.Sc,72.61,12.75,Accenture
"Mane, Munshi and Gole College",KA,B,4415,B.Tech,74.84,6.77,Deloitte
Kadakia Inc College,KA,B,1655,MCA,54.39,9.84,Infosys
Khurana-Khurana College,UP,C,1316,B.Tech,72.26,19.85,TCS
Manda and Sons College,MH,B,3682,MBA,91.27,15.39,EY
"Dar, Sibal and Mody College",WB,A,2932,MBA,48.42,13.26,Accenture
Subramanian PLC College,TN,C,2236,B.Tech,38.3,18.98,Wipro
Sant Inc College,MH,B,679,MBA,85.2,6.9,Deloitte
Din Group College,MH,A,3607,MCA,62.64,11.12,Infosys
"Raman, Kulkarni and Subramaniam College",TN,C,2591,B.Tech,86.44,4.4,TCS
Rau LLC College,KA,A,3405,B.Tech,86.43,9.96,Deloitte
"Rout, Wali and Cherian College",UP,C,4474,B.Sc,58.64,19.79,Wipro
Kuruvilla Inc College,UP,B,3704,MCA,98.47,12.34,Accenture
Chander and Sons College,MH,C,2995,MCA,81,6.26,Deloitte
"Dasgupta, Dhingra and Mukherjee College",WB,C,4154,B.Tech,75.4,19.85,Deloitte
Nanda-Gokhale College,Delhi,A,2061,MBA,61.74,8.29,Deloitte
Saraf Inc College,UP,B,4007,B.Tech,66.86,3.61,Deloitte
Cherian LLC College,TN,B,1758,B.Tech,38.7,3.09,Infosys
Shanker LLC College,UP,C,4048,MCA,62.98,13.76,TCS
Iyer Inc College,TN,A,2364,MCA,36.1,18.75,TCS
Ghose-Dey College,UP,C,1603,B.Tech,59.93,6.64,Deloitte
Rout Group College,TN,A,1554,MBA,34.83,5.7,Deloitte
Nadig-Viswanathan College,UP,C,4260,B.Tech,67.46,16.7,Wipro
Subramanian-Manda College,KA,A,2828,B.Sc,31.08,11.01,EY
Srinivasan Ltd College,MH,B,3584,MBA,75.04,10.32,Infosys
Rajan-Solanki College,MH,A,2446,B.Tech,79.97,11.95,TCS
Gola and Sons College,TN,A,4975,B.Sc,99.06,7.56,Deloitte
Handa-Khatri College,KA,A,1716,MCA,42.48,16.35,Wipro
